target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
5,4,,60.0,35,101,73,27.798194885253906,False
1,9,1.0,40.0,77,101,76,47.332520723342896,False
6,8,1.0,70.0,69,101,61,45.5435905456543,False
3,1,1.0,10.0,94,101,86,53.36084342002869,False
3,0,,20.0,49,101,88,36.40918564796448,False
9,6,,60.0,26,101,80,24.83379054069519,False
5,6,1.0,60.0,79,101,69,48.783382177352905,False
11,2,,70.0,26,101,62,25.02613401412964,False
5,5,1.0,60.0,81,101,78,49.47639322280884,False
10,5,,,100,101,76,50.6153085231781,False
0,1,1.0,50.0,87,101,75,50.99541401863098,False
1,8,1.0,50.0,80,101,79,48.69352316856384,False
1,8,,60.0,35,101,79,28.026352167129517,False
9,6,1.0,40.0,79,101,83,48.94067859649658,False
4,6,1.0,50.0,87,101,79,51.40551948547363,False
9,8,1.0,50.0,73,101,82,46.40454936027527,False
11,3,1.0,50.0,82,101,67,49.525063037872314,False
8,8,1.0,,62,101,79,41.72211837768555,False
9,1,,40.0,30,101,83,26.754973649978638,False
10,1,,40.0,44,101,80,31.517849683761597,False
4,3,,60.0,32,101,76,26.67563486099243,False
0,8,,20.0,47,101,66,31.884591817855835,False
9,1,1.0,60.0,82,101,80,49.6620397567749,False
6,8,1.0,10.0,89,101,66,51.687278032302856,False
5,8,1.0,30.0,92,101,71,53.58161401748657,False
10,9,,30.0,46,101,72,32.177738189697266,False
6,0,,70.0,25,101,45,24.60828447341919,False
8,8,1.0,50.0,78,101,80,48.14286756515503,False
0,9,,20.0,45,101,71,31.287987232208252,False
2,7,,70.0,26,101,86,25.054290294647217,False
11,9,,50.0,30,101,65,25.91859722137451,False
5,7,,70.0,31,101,73,26.94886088371277,False
3,4,1.0,40.0,75,101,83,46.960854053497314,False
1,6,1.0,,51,101,77,37.78718328475952,False
2,6,1.0,60.0,70,101,87,45.453442096710205,False
7,3,,,100,101,76,50.24457859992981,False
5,1,,40.0,39,101,66,29.62751841545105,False
2,6,1.0,,56,101,89,39.54883527755737,False
9,0,1.0,10.0,91,101,87,52.382808446884155,False
3,5,1.0,70.0,80,101,89,49.266562938690186,False
2,1,,50.0,32,101,78,26.57588243484497,False
9,7,1.0,40.0,77,101,81,47.41030430793762,False
0,0,,70.0,30,101,68,26.50269389152527,False
3,5,,10.0,69,101,84,39.3040554523468,False
4,6,1.0,,57,101,76,39.87719798088074,False
1,9,1.0,,54,101,73,38.80239415168762,False
5,8,,30.0,44,101,68,31.340657711029053,False
11,3,1.0,40.0,82,101,67,49.17711615562439,False
1,0,,50.0,30,101,69,26.855793714523315,False
0,9,,10.0,65,101,70,37.88917875289917,False
10,6,1.0,20.0,88,101,76,51.83722114562988,False
7,8,1.0,30.0,82,101,73,50.080344438552856,False
6,2,1.0,40.0,84,101,67,49.72885179519653,False
9,5,1.0,70.0,84,101,81,50.95677876472473,False
8,0,1.0,30.0,84,101,84,50.5317497253418,False
7,4,,30.0,43,101,67,30.90416646003723,False
10,3,1.0,50.0,88,101,81,51.55437874794006,False
3,9,1.0,10.0,87,101,85,50.878907680511475,False
10,4,,70.0,29,101,71,26.21567988395691,False
5,9,1.0,,55,101,69,39.24027061462402,False
3,7,,40.0,32,101,86,27.32980990409851,False
10,8,,60.0,29,101,75,25.938363075256348,False
10,7,,10.0,69,101,69,39.40469813346863,False
4,8,1.0,50.0,77,101,71,47.9218270778656,False
7,8,,60.0,33,101,71,27.376659154891968,False
9,3,1.0,60.0,78,101,85,48.211310148239136,False
10,1,,,100,101,76,49.767051219940186,False
6,6,1.0,60.0,80,101,69,49.227757930755615,False
1,2,1.0,60.0,73,101,78,46.43353462219238,False
8,0,,,100,101,84,49.828309059143066,False
10,6,1.0,40.0,90,101,76,53.002037048339844,False
0,9,1.0,20.0,85,101,76,50.675922870635986,False
9,6,1.0,30.0,91,101,82,53.18481159210205,False
7,0,,30.0,41,101,73,30.09130334854126,False
2,0,1.0,70.0,65,101,85,44.029359340667725,False
1,3,,50.0,22,101,76,23.036276817321777,False
7,0,,20.0,51,101,73,33.29293918609619,False
1,7,,70.0,34,101,71,27.859858751296997,False
